start,end,speaker,text
00:00:34.820,00:00:36.320,spk_0,"Hearing the appeal"
00:00:36.330,00:00:37.000,spk_1,"W(Children)."
00:00:37.950,00:00:52.590,spk_2,"Mr Geekie, before you begin three points. First of all, I will make a confidentiality order. Thank you. In the terms that I think you counsel have seen already."
00:00:52.590,00:00:53.970,spk_3,"We've all seen that. Thank you."
00:00:53.980,00:01:14.850,spk_2,"The second point is, we're all very conscious that you've had very little time to prepare for this important appeal. We're grateful for all the evidence that have gone into getting the papers ready. And there is no need for anyone to make any apologies as to the somewhat unconventional presentation of some of the papers."
00:01:15.070,00:01:17.960,spk_3,"Thank you. We've been greatly assisted by this court staff, and we are very"
00:01:17.960,00:01:25.700,spk_2,"grateful. Good. And the third thing and possibly the most important, is we are all very conscious"
00:01:26.080,00:01:26.580,spk_3,"of"
00:01:26.580,00:01:40.380,spk_2,"the significance of the working party being set up by the Family Justice Counsel. And no doubt council will, in their submissions, bear in mind that that's happening and that we have very much in mind that that's happening."
00:01:41.070,00:01:42.000,spk_3,"My Lord. Thank you. Thank"
00:01:42.000,00:01:42.400,spk_1,"you,"
00:01:45.800,00:02:03.800,spk_3,"My Lord. My lady, in this matter, I appear together with Mr Liebrecht with the Appellant's My learned friend, Miss Lucinda Davis appears together with Miss Sarah Earley upon on behalf of the respondent Global authority. The mother is not represented before this court. She has through her Solicitor files and letters"
00:02:03.810,00:02:04.680,spk_2,"we've seen."
00:02:04.690,00:02:12.010,spk_3,"Thank you. Then learned friend Miss Kate Branigan of Queen's Counsel, together with Maggie Jones, represent the child through her guardian."
00:02:12.120,00:02:12.770,spk_0,"Yes,"
00:02:12.910,00:02:19.700,spk_3,"My Lord. This is an appeal from a decision of the Court of Appeal handed down on the 9th of February this year. Permission being granted by this court."
00:02:20.000,00:02:28.150,spk_2,"Sorry you say the child child. Of course, it's all the hildren were concerned, particularly with one. But we're concerned with the interests of all the children."
00:02:28.150,00:04:37.500,spk_3,"I'm most grateful for that correction. And of course, the position of the other children forms a very important part of the considerations which we propose to put before this court. Yes. Permission was granted by this court on the 15th of February. My Lord, this case concerns the proper approach to the decision as to whether a child should give oral evidence in care proceedings. The issue we submit gives rise to the need to balance competing interests. And it is the Appellant's submission that the Court of Appeal Authorities to date have not set the test correctly. My Lord, I do intend to I do propose to address the question of the work to be done by the family justice counsel. But if I may little later in the submissions, I am to make the background facts to this case to set out in the agreed statement of facts and issues, which is filed before the court. And unless this court at this stage wants any further assistance with regards to those background facts, I don't suppose to go to them now. When I come to look at the individual circumstances, this case after the legal arguments, then I'll go into more detail on those matters. May I begin by endeavouring to set these considerations in the appropriate historical context, which means going back a little way. But I hope not too far into history, and it really means looking at the position in 1988, 1989 concerns about children's evidence in family proceedings, were the documents show, on the political agenda at that stage. In the course of our written submissions, we have referred this court to a number of criminal provisions in order to give some counterbalance and some perspective the way in which matters have developed within crime and within family proceedings. The Criminal Justice Act in 1988 by virtue of Section 32 brought in live links for children's evidence given in criminal proceedings. But put over the issue of recorded evidence for the Pigott report, if I may use that shorthand to describe"
00:04:37.500,00:04:37.870,spk_0,"it."
00:04:40.770,00:06:20.630,spk_3,"In a parallel process going on, at the same time, chronologically cases leading to the Children Act 1989 made clear that hearsay was not admissible in cases concerning children other than in wardship. And in the written documentation in the Bundles, we've produced the case of Re(H), Re(K), which was the decision of the Court of Appeal in relation to, statutory proceedings, private law proceedings as the children. And that judgment made clear that, as I say chronologically in the lead up to the Children Act 1989 the courts decided that hearsay was not admissible in children proceedings. A parallel and similar decision was made in the Bradford case, in relation to proceedings in the juvenile court, the venue for care proceedings prior to implementation of the Children Act. And My Lord, I don't at this stage proposed necessary to go to those two cases. There's nothing that I seek to derived from them in particular, other than just setting us in the historical context of, here say not being admissible other than in wardship As we move towards the Act of 1989. What is of interest we submit is that those two cases H and K in particular led directly to a late amendment to the Children's Bill, adding Section 96 as we now see it, and it might give assistance. If I do take the court at this stage to Section 96 it's in the"
00:06:24.510,00:06:25.070,spk_4,"second"
00:06:25.070,00:07:45.020,spk_3,"of the two Authorities Bundles, which was File 4 of the Court Bundles at the tab 25. Section 96 provides, Subsection 1, Where a child is called as a witness in any civil proceedings does not. In the opinion, the court understand the nature of the Subsection 2 applies the children's evidence. The child's evidence may be heard by the court if, in its opinion, he understands that his duty to speak the truth and he has sufficient understanding to justify his evidence being heard. That reversed the position prior to that section, whereby unsworn evidence of the child could not be received as a small as it were side marker. We would venture to suggest that the legislature, by passing that's Subsection, had in mind that the evidence of young children might be received by courts. I don't press that as a point of any particular strength, but it would seem that would have been in the Legislature's mind."
00:07:45.660,00:07:50.850,spk_0,"Yes I do remember the motion revision was discussed."
00:07:51.450,00:07:57.940,spk_3,"I had anticipated the ladyship might have other background information about this series of events. We've done what we"
00:07:57.940,00:08:01.580,spk_0,"can... [inaudible] justify that."
00:08:02.820,00:08:48.360,spk_3,"Yes, well, it when one is looking at the evidence being received on swarm within criminal proceedings, 10 to 12 has been thought generally to be the cut off point. And so it would seem that that's the direction in which this Subsection was going. Subsection three, the general empowering provision for Statutory Instrument to be made, which I'll come to in due course, led to the children order that there were three hearsay orders, but they're in in terms of effect much the same. And it's 1993 Order, which now presides. Subsection 4 can be directed at different proceedings. It's Subsection 5, to which I draw particular attention."
00:08:49.510,00:08:49.770,spk_0,"An"
